Text name: ../res/res_CN_linear_oRate40_var1.0e-06.txt
[0/100000] loss:0.591(gmm:0.588+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/100000] loss:0.141(gmm:0.138+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/100000] loss:0.081(gmm:0.077+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6000/100000] loss:0.098(gmm:0.095+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[8000/100000] loss:-0.033(gmm:-0.036+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[10000/100000] loss:-0.056(gmm:-0.060+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[12000/100000] loss:-0.142(gmm:-0.146+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[14000/100000] loss:-0.065(gmm:-0.069+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[16000/100000] loss:-0.068(gmm:-0.072+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[18000/100000] loss:-0.043(gmm:-0.047+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[20000/100000] loss:-0.066(gmm:-0.070+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[22000/100000] loss:-0.124(gmm:-0.128+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[24000/100000] loss:-0.120(gmm:-0.124+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[26000/100000] loss:-0.128(gmm:-0.133+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[28000/100000] loss:-0.106(gmm:-0.110+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[30000/100000] loss:-0.140(gmm:-0.144+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[32000/100000] loss:-0.113(gmm:-0.117+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[34000/100000] loss:-0.120(gmm:-0.124+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[36000/100000] loss:-0.148(gmm:-0.153+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[38000/100000] loss:-0.051(gmm:-0.055+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[40000/100000] loss:-0.113(gmm:-0.118+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[42000/100000] loss:-0.118(gmm:-0.123+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[44000/100000] loss:-0.154(gmm:-0.158+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[46000/100000] loss:-0.151(gmm:-0.156+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[48000/100000] loss:-0.174(gmm:-0.179+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[50000/100000] loss:-0.133(gmm:-0.138+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.161
[52000/100000] loss:-0.172(gmm:-0.177+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.176
[54000/100000] loss:-0.174(gmm:-0.179+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[56000/100000] loss:-0.165(gmm:-0.169+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[58000/100000] loss:-0.168(gmm:-0.173+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[60000/100000] loss:-0.164(gmm:-0.169+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[62000/100000] loss:-0.216(gmm:-0.220+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[64000/100000] loss:-0.163(gmm:-0.167+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[66000/100000] loss:-0.206(gmm:-0.210+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.207
[68000/100000] loss:-0.170(gmm:-0.175+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[70000/100000] loss:-0.172(gmm:-0.177+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[72000/100000] loss:-0.174(gmm:-0.178+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[74000/100000] loss:-0.165(gmm:-0.170+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[76000/100000] loss:-0.185(gmm:-0.190+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[78000/100000] loss:-0.188(gmm:-0.192+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[80000/100000] loss:-0.222(gmm:-0.226+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[82000/100000] loss:-0.189(gmm:-0.194+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[84000/100000] loss:-0.207(gmm:-0.212+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[86000/100000] loss:-0.174(gmm:-0.179+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[88000/100000] loss:-0.222(gmm:-0.227+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[90000/100000] loss:-0.222(gmm:-0.226+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
[92000/100000] loss:-0.182(gmm:-0.187+kl:0.000+l2:0.004+fit:0.000) bestLoss:-0.214
