Text name: ../res/res_CN_step_oRate40_var1.0e-06.txt
[0/100000] loss:0.983(gmm:0.980+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/100000] loss:0.319(gmm:0.315+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/100000] loss:0.148(gmm:0.145+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6000/100000] loss:0.190(gmm:0.186+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8000/100000] loss:0.237(gmm:0.233+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[10000/100000] loss:0.209(gmm:0.205+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[12000/100000] loss:0.201(gmm:0.197+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[14000/100000] loss:0.062(gmm:0.058+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[16000/100000] loss:-0.031(gmm:-0.036+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[18000/100000] loss:0.063(gmm:0.059+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[20000/100000] loss:0.052(gmm:0.047+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[22000/100000] loss:0.110(gmm:0.105+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[24000/100000] loss:-0.018(gmm:-0.023+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[26000/100000] loss:0.061(gmm:0.056+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[28000/100000] loss:0.127(gmm:0.122+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[30000/100000] loss:0.135(gmm:0.130+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[32000/100000] loss:0.100(gmm:0.095+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[34000/100000] loss:0.109(gmm:0.104+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[36000/100000] loss:0.138(gmm:0.133+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[38000/100000] loss:0.091(gmm:0.085+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[40000/100000] loss:0.082(gmm:0.077+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[42000/100000] loss:0.198(gmm:0.192+kl:0.000+l2:0.006+fit:0.000) bestLoss:inf
[44000/100000] loss:0.087(gmm:0.081+kl:0.000+l2:0.006+fit:0.000) bestLoss:inf
[46000/100000] loss:0.037(gmm:0.031+kl:0.000+l2:0.006+fit:0.000) bestLoss:inf
[48000/100000] loss:0.186(gmm:0.180+kl:0.000+l2:0.006+fit:0.000) bestLoss:inf
[50000/100000] loss:0.139(gmm:0.133+kl:0.000+l2:0.006+fit:0.000) bestLoss:0.148
[52000/100000] loss:-0.398(gmm:-0.404+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.400
[54000/100000] loss:-0.471(gmm:-0.477+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.473
[56000/100000] loss:-0.401(gmm:-0.408+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.473
[58000/100000] loss:-0.494(gmm:-0.501+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.479
[60000/100000] loss:-0.434(gmm:-0.441+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.479
[62000/100000] loss:-0.488(gmm:-0.495+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.483
[64000/100000] loss:-0.459(gmm:-0.465+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.483
[66000/100000] loss:-0.482(gmm:-0.488+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.492
[68000/100000] loss:-0.491(gmm:-0.498+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.500
[70000/100000] loss:-0.503(gmm:-0.509+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.506
[72000/100000] loss:-0.513(gmm:-0.519+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.511
[74000/100000] loss:-0.480(gmm:-0.486+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.511
[76000/100000] loss:-0.564(gmm:-0.571+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.562
[78000/100000] loss:-0.585(gmm:-0.592+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.592
[80000/100000] loss:-0.595(gmm:-0.601+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.596
[82000/100000] loss:-0.604(gmm:-0.611+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.601
[84000/100000] loss:-0.611(gmm:-0.617+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.601
[86000/100000] loss:-0.578(gmm:-0.585+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.601
[88000/100000] loss:-0.608(gmm:-0.614+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.601
[90000/100000] loss:-0.598(gmm:-0.605+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.607
[92000/100000] loss:-0.588(gmm:-0.595+kl:0.000+l2:0.006+fit:0.000) bestLoss:-0.607
