Text name: ../res/res_CN_step_oRate20_var1.0e-06.txt
[0/100000] loss:0.929(gmm:0.926+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/100000] loss:-0.243(gmm:-0.246+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/100000] loss:-0.250(gmm:-0.253+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6000/100000] loss:-0.406(gmm:-0.410+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8000/100000] loss:-0.458(gmm:-0.462+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[10000/100000] loss:-0.419(gmm:-0.423+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[12000/100000] loss:-0.446(gmm:-0.450+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[14000/100000] loss:-0.519(gmm:-0.523+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[16000/100000] loss:-0.584(gmm:-0.588+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[18000/100000] loss:-0.514(gmm:-0.518+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[20000/100000] loss:-0.598(gmm:-0.603+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[22000/100000] loss:-0.551(gmm:-0.555+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[24000/100000] loss:-0.590(gmm:-0.595+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[26000/100000] loss:-0.600(gmm:-0.605+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[28000/100000] loss:-0.557(gmm:-0.561+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[30000/100000] loss:-0.575(gmm:-0.580+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[32000/100000] loss:-0.605(gmm:-0.610+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[34000/100000] loss:-0.594(gmm:-0.599+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[36000/100000] loss:-0.537(gmm:-0.542+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[38000/100000] loss:-0.643(gmm:-0.648+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[40000/100000] loss:-0.559(gmm:-0.564+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[42000/100000] loss:-0.549(gmm:-0.554+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[44000/100000] loss:-0.455(gmm:-0.460+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[46000/100000] loss:-0.620(gmm:-0.625+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[48000/100000] loss:-0.599(gmm:-0.604+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[50000/100000] loss:-0.638(gmm:-0.644+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.597
[52000/100000] loss:-0.718(gmm:-0.724+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.700
[54000/100000] loss:-0.697(gmm:-0.703+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.725
[56000/100000] loss:-0.668(gmm:-0.674+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.725
[58000/100000] loss:-0.707(gmm:-0.713+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.725
[60000/100000] loss:-0.701(gmm:-0.707+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[62000/100000] loss:-0.741(gmm:-0.746+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[64000/100000] loss:-0.719(gmm:-0.725+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[66000/100000] loss:-0.684(gmm:-0.689+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[68000/100000] loss:-0.707(gmm:-0.713+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[70000/100000] loss:-0.703(gmm:-0.709+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[72000/100000] loss:-0.736(gmm:-0.741+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[74000/100000] loss:-0.719(gmm:-0.724+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[76000/100000] loss:-0.723(gmm:-0.728+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.736
[78000/100000] loss:-0.744(gmm:-0.749+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[80000/100000] loss:-0.721(gmm:-0.727+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[82000/100000] loss:-0.725(gmm:-0.731+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[84000/100000] loss:-0.712(gmm:-0.718+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[86000/100000] loss:-0.736(gmm:-0.742+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[88000/100000] loss:-0.744(gmm:-0.749+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[90000/100000] loss:-0.722(gmm:-0.727+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[92000/100000] loss:-0.732(gmm:-0.738+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[94000/100000] loss:-0.735(gmm:-0.740+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[96000/100000] loss:-0.729(gmm:-0.735+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
[98000/100000] loss:-0.735(gmm:-0.740+kl:0.000+l2:0.005+fit:0.000) bestLoss:-0.748
