Text name: ../res/res_CN_linear_oRate20_var1.0e-06.txt
[0/100000] loss:0.555(gmm:0.552+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[2000/100000] loss:-0.402(gmm:-0.406+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[4000/100000] loss:-0.574(gmm:-0.577+kl:0.000+l2:0.003+fit:0.000) bestLoss:inf
[6000/100000] loss:-0.615(gmm:-0.619+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[8000/100000] loss:-0.635(gmm:-0.639+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[10000/100000] loss:-0.621(gmm:-0.625+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[12000/100000] loss:-0.585(gmm:-0.590+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[14000/100000] loss:-0.634(gmm:-0.638+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[16000/100000] loss:-0.569(gmm:-0.574+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[18000/100000] loss:-0.598(gmm:-0.602+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[20000/100000] loss:-0.673(gmm:-0.678+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[22000/100000] loss:-0.674(gmm:-0.678+kl:0.000+l2:0.004+fit:0.000) bestLoss:inf
[24000/100000] loss:-0.623(gmm:-0.628+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[26000/100000] loss:-0.665(gmm:-0.670+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[28000/100000] loss:-0.620(gmm:-0.624+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[30000/100000] loss:-0.850(gmm:-0.855+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[32000/100000] loss:-0.839(gmm:-0.844+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[34000/100000] loss:-0.907(gmm:-0.912+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[36000/100000] loss:-0.916(gmm:-0.922+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[38000/100000] loss:-0.958(gmm:-0.964+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[40000/100000] loss:-0.972(gmm:-0.978+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[42000/100000] loss:-0.946(gmm:-0.951+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[44000/100000] loss:-0.974(gmm:-0.979+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[46000/100000] loss:0.226(gmm:0.220+kl:0.000+l2:0.005+fit:0.000) bestLoss:inf
[48000/100000] loss:-0.124(gmm:-0.130+kl:0.000+l2:0.006+fit:0.000) bestLoss:inf
[50000/100000] loss:-1.048(gmm:-1.054+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.070
[52000/100000] loss:-1.454(gmm:-1.460+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.428
[54000/100000] loss:-1.468(gmm:-1.474+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.456
[56000/100000] loss:-1.446(gmm:-1.452+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.479
[58000/100000] loss:-1.465(gmm:-1.471+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.479
[60000/100000] loss:-1.478(gmm:-1.484+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.479
[62000/100000] loss:-1.499(gmm:-1.505+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.483
[64000/100000] loss:-1.461(gmm:-1.467+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.484
[66000/100000] loss:-1.486(gmm:-1.493+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.490
[68000/100000] loss:-1.470(gmm:-1.477+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.490
[70000/100000] loss:-1.489(gmm:-1.495+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.502
[72000/100000] loss:-1.475(gmm:-1.481+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.505
[74000/100000] loss:-1.477(gmm:-1.484+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.505
[76000/100000] loss:-1.515(gmm:-1.521+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.505
[78000/100000] loss:-1.508(gmm:-1.514+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.511
[80000/100000] loss:-1.499(gmm:-1.505+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.511
[82000/100000] loss:-1.503(gmm:-1.510+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.511
[84000/100000] loss:-1.510(gmm:-1.516+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.511
[86000/100000] loss:-1.514(gmm:-1.520+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[88000/100000] loss:-1.506(gmm:-1.512+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[90000/100000] loss:-1.502(gmm:-1.508+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[92000/100000] loss:-1.509(gmm:-1.515+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[94000/100000] loss:-1.522(gmm:-1.528+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[96000/100000] loss:-1.495(gmm:-1.502+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[98000/100000] loss:-1.516(gmm:-1.522+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[99999/100000] loss:-1.508(gmm:-1.514+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.518
[100000/100000] loss:-1.511(gmm:-1.518+kl:0.000+l2:0.006+fit:0.000) bestLoss:-1.520
