Text name: ../res/res_mnist_rp_err90_basic_cnn.txt
[00/50] [Loss] train:1.208 val:1.050 test:1.054 [Accr] train:46.4% val:59.9% test:60.0% maxVal:59.9% maxTest:60.0%
[01/50] [Loss] train:1.038 val:0.917 test:0.922 [Accr] train:49.3% val:62.3% test:61.8% maxVal:62.3% maxTest:61.8%
[02/50] [Loss] train:0.956 val:0.864 test:0.872 [Accr] train:50.7% val:60.7% test:60.9% maxVal:62.3% maxTest:61.8%
[03/50] [Loss] train:0.911 val:0.819 test:0.824 [Accr] train:52.1% val:61.2% test:61.7% maxVal:62.3% maxTest:61.8%
[04/50] [Loss] train:0.878 val:0.797 test:0.804 [Accr] train:53.1% val:62.7% test:61.9% maxVal:62.7% maxTest:61.9%
[05/50] [Loss] train:0.854 val:0.778 test:0.783 [Accr] train:54.1% val:65.2% test:63.2% maxVal:65.2% maxTest:63.2%
[06/50] [Loss] train:0.835 val:0.774 test:0.778 [Accr] train:54.8% val:63.5% test:63.0% maxVal:65.2% maxTest:63.2%
[07/50] [Loss] train:0.814 val:0.756 test:0.762 [Accr] train:55.6% val:63.6% test:63.2% maxVal:65.2% maxTest:63.2%
[08/50] [Loss] train:0.802 val:0.732 test:0.739 [Accr] train:56.4% val:65.6% test:65.2% maxVal:65.6% maxTest:65.2%
[09/50] [Loss] train:0.788 val:0.768 test:0.774 [Accr] train:56.9% val:59.8% test:59.0% maxVal:65.6% maxTest:65.2%
[10/50] [Loss] train:0.782 val:0.761 test:0.758 [Accr] train:57.1% val:58.9% test:58.9% maxVal:65.6% maxTest:65.2%
[11/50] [Loss] train:0.766 val:0.730 test:0.735 [Accr] train:58.2% val:62.8% test:62.3% maxVal:65.6% maxTest:65.2%
[12/50] [Loss] train:0.756 val:0.702 test:0.698 [Accr] train:58.8% val:67.7% test:67.6% maxVal:67.7% maxTest:67.6%
[13/50] [Loss] train:0.748 val:0.704 test:0.705 [Accr] train:59.3% val:66.8% test:65.3% maxVal:67.7% maxTest:67.6%
[14/50] [Loss] train:0.736 val:0.718 test:0.714 [Accr] train:60.4% val:65.0% test:64.5% maxVal:67.7% maxTest:67.6%
[15/50] [Loss] train:0.729 val:0.747 test:0.746 [Accr] train:60.9% val:60.7% test:60.5% maxVal:67.7% maxTest:67.6%
[16/50] [Loss] train:0.722 val:0.736 test:0.734 [Accr] train:61.4% val:61.0% test:60.8% maxVal:67.7% maxTest:67.6%
[17/50] [Loss] train:0.712 val:0.710 test:0.709 [Accr] train:62.4% val:64.4% test:64.1% maxVal:67.7% maxTest:67.6%
[18/50] [Loss] train:0.708 val:0.717 test:0.710 [Accr] train:62.5% val:62.8% test:63.2% maxVal:67.7% maxTest:67.6%
[19/50] [Loss] train:0.711 val:0.719 test:0.714 [Accr] train:62.3% val:62.6% test:62.6% maxVal:67.7% maxTest:67.6%
[20/50] [Loss] train:0.705 val:0.735 test:0.730 [Accr] train:62.4% val:61.3% test:62.1% maxVal:67.7% maxTest:67.6%
[21/50] [Loss] train:0.689 val:0.735 test:0.727 [Accr] train:64.3% val:59.4% test:60.5% maxVal:67.7% maxTest:67.6%
[22/50] [Loss] train:0.687 val:0.674 test:0.672 [Accr] train:64.0% val:68.7% test:68.2% maxVal:68.7% maxTest:68.2%
[23/50] [Loss] train:0.681 val:0.741 test:0.735 [Accr] train:64.8% val:59.6% test:60.2% maxVal:68.7% maxTest:68.2%
[24/50] [Loss] train:0.675 val:0.711 test:0.704 [Accr] train:65.0% val:63.4% test:63.8% maxVal:68.7% maxTest:68.2%
[25/50] [Loss] train:0.668 val:0.723 test:0.718 [Accr] train:66.1% val:61.5% test:61.7% maxVal:68.7% maxTest:68.2%
[26/50] [Loss] train:0.660 val:0.734 test:0.731 [Accr] train:67.0% val:59.2% test:59.3% maxVal:68.7% maxTest:68.2%
[27/50] [Loss] train:0.655 val:0.693 test:0.691 [Accr] train:66.9% val:65.0% test:64.6% maxVal:68.7% maxTest:68.2%
[28/50] [Loss] train:0.654 val:0.723 test:0.717 [Accr] train:67.1% val:61.2% test:61.6% maxVal:68.7% maxTest:68.2%
[29/50] [Loss] train:0.644 val:0.710 test:0.706 [Accr] train:68.2% val:62.3% test:62.1% maxVal:68.7% maxTest:68.2%
[30/50] [Loss] train:0.646 val:0.732 test:0.728 [Accr] train:67.6% val:60.2% test:61.0% maxVal:68.7% maxTest:68.2%
[31/50] [Loss] train:0.638 val:0.718 test:0.710 [Accr] train:68.7% val:61.7% test:61.6% maxVal:68.7% maxTest:68.2%
[32/50] [Loss] train:0.633 val:0.697 test:0.690 [Accr] train:68.9% val:63.9% test:64.0% maxVal:68.7% maxTest:68.2%
[33/50] [Loss] train:0.629 val:0.726 test:0.719 [Accr] train:69.8% val:59.6% test:59.7% maxVal:68.7% maxTest:68.2%
[34/50] [Loss] train:0.619 val:0.703 test:0.694 [Accr] train:70.8% val:62.9% test:62.9% maxVal:68.7% maxTest:68.2%
[35/50] [Loss] train:0.614 val:0.697 test:0.696 [Accr] train:71.0% val:63.8% test:63.4% maxVal:68.7% maxTest:68.2%
[36/50] [Loss] train:0.614 val:0.686 test:0.681 [Accr] train:70.9% val:65.6% test:65.0% maxVal:68.7% maxTest:68.2%
[37/50] [Loss] train:0.608 val:0.696 test:0.696 [Accr] train:71.4% val:63.8% test:62.8% maxVal:68.7% maxTest:68.2%
[38/50] [Loss] train:0.603 val:0.710 test:0.699 [Accr] train:72.3% val:61.4% test:62.6% maxVal:68.7% maxTest:68.2%
[39/50] [Loss] train:0.601 val:0.726 test:0.716 [Accr] train:72.4% val:58.6% test:59.4% maxVal:68.7% maxTest:68.2%
[40/50] [Loss] train:0.595 val:0.702 test:0.697 [Accr] train:72.5% val:62.7% test:62.3% maxVal:68.7% maxTest:68.2%
[41/50] [Loss] train:0.592 val:0.683 test:0.678 [Accr] train:72.8% val:65.5% test:64.9% maxVal:68.7% maxTest:68.2%
[42/50] [Loss] train:0.585 val:0.718 test:0.709 [Accr] train:73.9% val:60.3% test:60.2% maxVal:68.7% maxTest:68.2%
[43/50] [Loss] train:0.583 val:0.722 test:0.716 [Accr] train:73.7% val:60.3% test:60.9% maxVal:68.7% maxTest:68.2%
[44/50] [Loss] train:0.586 val:0.738 test:0.732 [Accr] train:73.4% val:58.5% test:58.4% maxVal:68.7% maxTest:68.2%
[45/50] [Loss] train:0.577 val:0.706 test:0.698 [Accr] train:74.1% val:61.8% test:62.8% maxVal:68.7% maxTest:68.2%
[46/50] [Loss] train:0.574 val:0.739 test:0.737 [Accr] train:74.9% val:58.6% test:57.6% maxVal:68.7% maxTest:68.2%
[47/50] [Loss] train:0.568 val:0.694 test:0.688 [Accr] train:74.9% val:63.6% test:63.0% maxVal:68.7% maxTest:68.2%
[48/50] [Loss] train:0.563 val:0.725 test:0.719 [Accr] train:75.6% val:59.2% test:59.1% maxVal:68.7% maxTest:68.2%
[49/50] [Loss] train:0.560 val:0.704 test:0.694 [Accr] train:75.8% val:63.1% test:63.0% maxVal:68.7% maxTest:68.2%
[50/50] [Loss] train:0.558 val:0.687 test:0.686 [Accr] train:75.7% val:64.2% test:63.5% maxVal:68.7% maxTest:68.2%
