Text name: ../res/res_mnist_rs_err90_basic_tau_inv1e-01_choiceNet.txt
[00/40] [Loss] train:0.052(f:-0.114+r:0.049+k:0.001+l:0.116) val:-0.057 test:-0.068 [Accr] train:15.3% val:59.0% test:61.5% maxVal:59.0% maxTest:61.5%
[01/40] [Loss] train:0.044(f:-0.123+r:0.050+k:0.001+l:0.115) val:-0.149 test:-0.153 [Accr] train:16.9% val:76.8% test:78.1% maxVal:76.8% maxTest:78.1%
[02/40] [Loss] train:0.038(f:-0.130+r:0.051+k:0.001+l:0.115) val:-0.207 test:-0.213 [Accr] train:17.6% val:83.2% test:84.2% maxVal:83.2% maxTest:84.2%
[03/40] [Loss] train:0.035(f:-0.133+r:0.052+k:0.001+l:0.115) val:-0.236 test:-0.245 [Accr] train:17.8% val:85.9% test:86.5% maxVal:85.9% maxTest:86.5%
[04/40] [Loss] train:0.032(f:-0.135+r:0.051+k:0.001+l:0.115) val:-0.252 test:-0.263 [Accr] train:18.1% val:88.2% test:88.6% maxVal:88.2% maxTest:88.6%
[05/40] [Loss] train:0.030(f:-0.137+r:0.051+k:0.001+l:0.115) val:-0.278 test:-0.282 [Accr] train:18.2% val:89.7% test:89.9% maxVal:89.7% maxTest:89.9%
[06/40] [Loss] train:0.028(f:-0.139+r:0.050+k:0.001+l:0.115) val:-0.287 test:-0.293 [Accr] train:18.3% val:91.2% test:91.1% maxVal:91.2% maxTest:91.1%
[07/40] [Loss] train:0.025(f:-0.140+r:0.050+k:0.001+l:0.115) val:-0.299 test:-0.307 [Accr] train:18.5% val:92.3% test:91.9% maxVal:92.3% maxTest:91.9%
[08/40] [Loss] train:0.023(f:-0.142+r:0.049+k:0.001+l:0.114) val:-0.317 test:-0.322 [Accr] train:18.5% val:92.5% test:92.4% maxVal:92.5% maxTest:92.4%
[09/40] [Loss] train:0.021(f:-0.143+r:0.048+k:0.001+l:0.114) val:-0.323 test:-0.323 [Accr] train:18.6% val:92.7% test:92.7% maxVal:92.7% maxTest:92.7%
[10/40] [Loss] train:0.019(f:-0.144+r:0.048+k:0.001+l:0.114) val:-0.334 test:-0.335 [Accr] train:18.6% val:93.3% test:93.2% maxVal:93.3% maxTest:93.2%
[11/40] [Loss] train:0.017(f:-0.144+r:0.046+k:0.001+l:0.114) val:-0.331 test:-0.337 [Accr] train:18.7% val:93.6% test:93.5% maxVal:93.6% maxTest:93.5%
[12/40] [Loss] train:0.015(f:-0.146+r:0.046+k:0.001+l:0.114) val:-0.340 test:-0.344 [Accr] train:18.8% val:93.8% test:93.5% maxVal:93.8% maxTest:93.5%
[13/40] [Loss] train:0.013(f:-0.146+r:0.045+k:0.001+l:0.114) val:-0.335 test:-0.341 [Accr] train:18.8% val:94.3% test:94.1% maxVal:94.3% maxTest:94.1%
[14/40] [Loss] train:0.012(f:-0.147+r:0.044+k:0.001+l:0.113) val:-0.346 test:-0.347 [Accr] train:18.8% val:94.3% test:94.3% maxVal:94.3% maxTest:94.1%
[15/40] [Loss] train:0.010(f:-0.147+r:0.043+k:0.001+l:0.113) val:-0.355 test:-0.356 [Accr] train:18.8% val:94.4% test:94.5% maxVal:94.4% maxTest:94.5%
[16/40] [Loss] train:0.007(f:-0.149+r:0.042+k:0.001+l:0.113) val:-0.360 test:-0.361 [Accr] train:18.9% val:94.5% test:94.7% maxVal:94.5% maxTest:94.7%
[17/40] [Loss] train:0.006(f:-0.149+r:0.041+k:0.001+l:0.113) val:-0.361 test:-0.362 [Accr] train:18.9% val:94.7% test:94.5% maxVal:94.7% maxTest:94.5%
[18/40] [Loss] train:0.004(f:-0.150+r:0.040+k:0.001+l:0.113) val:-0.365 test:-0.370 [Accr] train:18.9% val:94.8% test:94.7% maxVal:94.8% maxTest:94.7%
[19/40] [Loss] train:0.002(f:-0.150+r:0.038+k:0.001+l:0.113) val:-0.364 test:-0.367 [Accr] train:18.9% val:95.0% test:95.2% maxVal:95.0% maxTest:95.2%
[20/40] [Loss] train:0.002(f:-0.150+r:0.038+k:0.001+l:0.113) val:-0.367 test:-0.368 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.1% maxTest:95.2%
[21/40] [Loss] train:0.001(f:-0.151+r:0.038+k:0.001+l:0.113) val:-0.370 test:-0.370 [Accr] train:18.9% val:95.1% test:95.1% maxVal:95.1% maxTest:95.2%
[22/40] [Loss] train:0.001(f:-0.151+r:0.038+k:0.001+l:0.113) val:-0.367 test:-0.368 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.1% maxTest:95.2%
[23/40] [Loss] train:0.000(f:-0.151+r:0.038+k:0.001+l:0.113) val:-0.368 test:-0.369 [Accr] train:19.0% val:95.0% test:95.2% maxVal:95.1% maxTest:95.2%
[24/40] [Loss] train:0.000(f:-0.151+r:0.038+k:0.001+l:0.113) val:-0.371 test:-0.370 [Accr] train:18.9% val:95.2% test:95.2% maxVal:95.2% maxTest:95.2%
[25/40] [Loss] train:-0.000(f:-0.151+r:0.037+k:0.001+l:0.113) val:-0.369 test:-0.370 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.2% maxTest:95.2%
[26/40] [Loss] train:-0.000(f:-0.151+r:0.037+k:0.001+l:0.113) val:-0.371 test:-0.371 [Accr] train:19.0% val:95.1% test:95.3% maxVal:95.2% maxTest:95.2%
[27/40] [Loss] train:-0.001(f:-0.152+r:0.037+k:0.001+l:0.113) val:-0.371 test:-0.376 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.2% maxTest:95.2%
[28/40] [Loss] train:-0.002(f:-0.152+r:0.037+k:0.001+l:0.113) val:-0.374 test:-0.374 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.2% maxTest:95.2%
[29/40] [Loss] train:-0.002(f:-0.153+r:0.037+k:0.001+l:0.113) val:-0.371 test:-0.372 [Accr] train:19.0% val:95.1% test:95.3% maxVal:95.2% maxTest:95.2%
[30/40] [Loss] train:-0.001(f:-0.152+r:0.037+k:0.001+l:0.113) val:-0.376 test:-0.378 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.2% maxTest:95.2%
[31/40] [Loss] train:-0.001(f:-0.152+r:0.037+k:0.001+l:0.113) val:-0.370 test:-0.369 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.2% maxTest:95.2%
[32/40] [Loss] train:-0.001(f:-0.152+r:0.037+k:0.001+l:0.113) val:-0.371 test:-0.372 [Accr] train:19.0% val:95.1% test:95.2% maxVal:95.2% maxTest:95.2%
