Text name: ../res/res_CN_linear_oRate30_var1.0e-06.txt
[0/30000] loss:0.717(gmm:0.716+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[600/30000] loss:-0.157(gmm:-0.157+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1200/30000] loss:0.048(gmm:0.047+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[1800/30000] loss:-0.397(gmm:-0.397+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[2400/30000] loss:-0.325(gmm:-0.326+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3000/30000] loss:-0.491(gmm:-0.491+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[3600/30000] loss:-0.424(gmm:-0.424+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4200/30000] loss:-0.313(gmm:-0.314+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[4800/30000] loss:-0.375(gmm:-0.375+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[5400/30000] loss:-0.466(gmm:-0.466+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6000/30000] loss:-0.507(gmm:-0.507+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[6600/30000] loss:-0.506(gmm:-0.507+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7200/30000] loss:-0.484(gmm:-0.484+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[7800/30000] loss:-0.502(gmm:-0.502+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[8400/30000] loss:-0.477(gmm:-0.478+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9000/30000] loss:-0.418(gmm:-0.418+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[9600/30000] loss:-0.496(gmm:-0.496+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10200/30000] loss:-0.535(gmm:-0.535+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[10800/30000] loss:-0.483(gmm:-0.483+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[11400/30000] loss:-0.499(gmm:-0.499+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12000/30000] loss:-0.503(gmm:-0.504+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[12600/30000] loss:-0.495(gmm:-0.496+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13200/30000] loss:-0.491(gmm:-0.491+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[13800/30000] loss:-0.493(gmm:-0.493+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[14400/30000] loss:-0.462(gmm:-0.462+kl:0.000+l2:0.000+fit:0.000) bestLoss:inf
[15000/30000] loss:-0.501(gmm:-0.501+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.483
[15600/30000] loss:-0.578(gmm:-0.578+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[16200/30000] loss:-0.539(gmm:-0.539+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[16800/30000] loss:-0.547(gmm:-0.547+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[17400/30000] loss:-0.523(gmm:-0.524+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[18000/30000] loss:-0.530(gmm:-0.531+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[18600/30000] loss:-0.538(gmm:-0.539+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[19200/30000] loss:-0.529(gmm:-0.529+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[19800/30000] loss:-0.528(gmm:-0.528+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.561
[20400/30000] loss:-0.541(gmm:-0.541+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[21000/30000] loss:-0.546(gmm:-0.546+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[21600/30000] loss:-0.529(gmm:-0.529+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[22200/30000] loss:-0.540(gmm:-0.540+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[22800/30000] loss:-0.513(gmm:-0.513+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[23400/30000] loss:-0.553(gmm:-0.553+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[24000/30000] loss:-0.522(gmm:-0.522+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[24600/30000] loss:-0.569(gmm:-0.570+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[25200/30000] loss:-0.561(gmm:-0.561+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.563
[25800/30000] loss:-0.541(gmm:-0.541+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.565
[26400/30000] loss:-0.553(gmm:-0.553+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.565
[27000/30000] loss:-0.565(gmm:-0.566+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.565
[27600/30000] loss:-0.547(gmm:-0.547+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.573
[28200/30000] loss:-0.564(gmm:-0.564+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.573
[28800/30000] loss:-0.526(gmm:-0.526+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.573
[29400/30000] loss:-0.529(gmm:-0.530+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.573
[29999/30000] loss:-0.543(gmm:-0.543+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.573
[30000/30000] loss:-0.565(gmm:-0.565+kl:0.000+l2:0.000+fit:0.000) bestLoss:-0.573
